"Koordinatat e objektit (03520-0) Ferizaj), Bodrumi",,
Nr ,x,y
1,7511880.274,4693292.277
2,7511839.929,4693311.570
3,7511815.983,4693270.516
4,7511856.939,4693245.655
5,7511857.627,4693247.068
6,7511858.344,4693246.632
