"Koordinatat e objektit (03520-0) Ferizaj), Përdhesa",,
Nr ,x,y
1,7511838.179,4693307.472
2,7511858.026,4693297.982
3,7511850.313,4693281.851
4,7511855.906,4693279.176
5,7511854.625,4693276.497
6,7511860.173,4693273.844
7,7511851.265,4693255.214
8,7511827.313,4693266.668
9,7511827.546,4693267.156
10,7511820.513,4693270.529
