Koordinatat e Katit -1B të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511879.757,4693292.540,622.013,Kati  -1B,Shtëpi-Ndërtesë,PM
2,7511839.949,4693311.585,622.034,Kati  -1B,Shtëpi-Ndërtesë,PM
3,7511815.953,4693270.512,622.021,Kati  -1B,Shtëpi-Ndërtesë,PM
4,7511856.881,4693245.803,622.007,Kati  -1B,Shtëpi-Ndërtesë,PM
5,7511868.640,4693269.762,622.052,Kati  -1B,Shtëpi-Ndërtesë,PM
6,7511827.186,4693289.635,622.035,Kati  -1B,Shtëpi-Ndërtesë,PM
