Koordinatat e Katit 3 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511864.339,4693294.963,639.764,Kati 3,Shtëpi-Ndërtesë,PM
2,7511863.184,4693298.302,639.742,Kati 3,Shtëpi-Ndërtesë,PM
3,7511857.298,4693299.420,639.769,Kati 3,Shtëpi-Ndërtesë,PM
4,7511857.145,4693299.517,639.759,Kati 3,Shtëpi-Ndërtesë,PM
5,7511851.539,4693303.867,639.764,Kati 3,Shtëpi-Ndërtesë,PM
6,7511839.500,4693308.149,639.751,Kati 3,Shtëpi-Ndërtesë,PM
7,7511837.220,4693307.379,639.780,Kati 3,Shtëpi-Ndërtesë,PM
8,7511830.874,4693296.417,639.779,Kati 3,Shtëpi-Ndërtesë,PM
9,7511828.369,4693289.295,639.732,Kati 3,Shtëpi-Ndërtesë,PM
10,7511855.455,4693276.337,639.729,Kati 3,Shtëpi-Ndërtesë,PM
12,7511856.584,4693278.571,639.673,Kati 3,Shtëpi-Ndërtesë,PM
13,7511861.652,4693274.554,639.900,Kati 3,Shtëpi-Ndërtesë,PM
14,7511851.025,4693252.341,639.939,Kati 3,Shtëpi-Ndërtesë,PM
15,7511842.234,4693256.545,639.778,Kati 3,Shtëpi-Ndërtesë,PM
16,7511842.865,4693257.799,639.699,Kati 3,Shtëpi-Ndërtesë,PM
17,7511831.783,4693263.045,639.953,Kati 3,Shtëpi-Ndërtesë,PM
18,7511832.350,4693264.259,639.762,Kati 3,Shtëpi-Ndërtesë,PM
19,7511820.631,4693269.868,639.944,Kati 3,Shtëpi-Ndërtesë,PM
20,7511819.501,4693272.867,639.929,Kati 3,Shtëpi-Ndërtesë,PM
21,7511824.529,4693285.171,639.950,Kati 3,Shtëpi-Ndërtesë,PM
