1,7511864.36,4693294.961,635.196
2,7511863.189,4693298.291,635.169
3,7511857.296,4693299.421,635.212
4,7511857.094,4693299.531,635.211
5,7511851.475,4693303.903,635.16
6,7511839.459,4693308.135,635.197
7,7511837.206,4693307.327,635.196
8,7511830.925,4693296.544,635.184
9,7511828.362,4693289.283,635.288
10,7511855.422,4693276.329,635.542
12,7511856.563,4693278.627,635.809
13,7511861.636,4693274.542,635.466
14,7511851.011,4693252.369,635.468
15,7511842.234,4693256.533,635.485
16,7511842.862,4693257.801,635.476
17,7511831.804,4693263.074,635.487
18,7511832.342,4693264.244,635.277
19,7511820.617,4693269.895,635.466
20,7511819.531,4693272.914,635.207
21,7511824.523,4693285.205,635.82
