Koordinatat e Kati 4 të projektuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511858.648,4693296.964,0.000,Kati 4,Shtëpi-Ndërtesë,PP
2,7511857.746,4693297.395,0.000,Kati 4,Shtëpi-Ndërtesë,PP
3,7511858.026,4693297.982,0.000,Kati 4,Shtëpi-Ndërtesë,PP
4,7511857.034,4693298.456,0.000,Kati 4,Shtëpi-Ndërtesë,PP
5,7511857.315,4693299.042,0.000,Kati 4,Shtëpi-Ndërtesë,PP
6,7511851.676,4693301.739,0.000,Kati 4,Shtëpi-Ndërtesë,PP
7,7511851.396,4693301.152,0.000,Kati 4,Shtëpi-Ndërtesë,PP
8,7511844.810,4693304.302,0.000,Kati 4,Shtëpi-Ndërtesë,PP
9,7511845.090,4693304.888,0.000,Kati 4,Shtëpi-Ndërtesë,PP
10,7511839.452,4693307.584,0.000,Kati 4,Shtëpi-Ndërtesë,PP
11,7511839.171,4693306.998,0.000,Kati 4,Shtëpi-Ndërtesë,PP
12,7511838.179,4693307.472,0.000,Kati 4,Shtëpi-Ndërtesë,PP
13,7511837.899,4693306.886,0.000,Kati 4,Shtëpi-Ndërtesë,PP
14,7511836.996,4693307.317,0.000,Kati 4,Shtëpi-Ndërtesë,PP
15,7511835.810,4693304.836,0.000,Kati 4,Shtëpi-Ndërtesë,PP
16,7511836.712,4693304.405,0.000,Kati 4,Shtëpi-Ndërtesë,PP
17,7511831.018,4693292.497,0.000,Kati 4,Shtëpi-Ndërtesë,PP
18,7511830.116,4693292.928,0.000,Kati 4,Shtëpi-Ndërtesë,PP
19,7511828.649,4693289.861,0.000,Kati 4,Shtëpi-Ndërtesë,PP
20,7511829.551,4693289.429,0.000,Kati 4,Shtëpi-Ndërtesë,PP
21,7511829.271,4693288.843,0.000,Kati 4,Shtëpi-Ndërtesë,PP
22,7511849.118,4693279.352,0.000,Kati 4,Shtëpi-Ndërtesë,PP
23,7511849.398,4693279.938,0.000,Kati 4,Shtëpi-Ndërtesë,PP
24,7511850.301,4693279.507,0.000,Kati 4,Shtëpi-Ndërtesë,PP
25,7511851.767,4693282.574,0.000,Kati 4,Shtëpi-Ndërtesë,PP
26,7511850.865,4693283.006,0.000,Kati 4,Shtëpi-Ndërtesë,PP
27,7511856.560,4693294.914,0.000,Kati 4,Shtëpi-Ndërtesë,PP
28,7511857.462,4693294.483,0.000,Kati 4,Shtëpi-Ndërtesë,PP
29,7511860.173,4693273.844,0.000,Kati 4,Shtëpi-Ndërtesë,PP
30,7511835.770,4693285.513,0.000,Kati 4,Shtëpi-Ndërtesë,PP
31,7511829.881,4693273.199,0.000,Kati 4,Shtëpi-Ndërtesë,PP
32,7511834.437,4693271.020,0.000,Kati 4,Shtëpi-Ndërtesë,PP
33,7511830.796,4693265.723,0.000,Kati 4,Shtëpi-Ndërtesë,PP
34,7511831.698,4693265.291,0.000,Kati 4,Shtëpi-Ndërtesë,PP
35,7511831.417,4693264.705,0.000,Kati 4,Shtëpi-Ndërtesë,PP
36,7511832.410,4693264.230,0.000,Kati 4,Shtëpi-Ndërtesë,PP
37,7511832.129,4693263.644,0.000,Kati 4,Shtëpi-Ndërtesë,PP
38,7511837.768,4693260.948,0.000,Kati 4,Shtëpi-Ndërtesë,PP
39,7511838.048,4693261.534,0.000,Kati 4,Shtëpi-Ndërtesë,PP
40,7511844.634,4693258.385,0.000,Kati 4,Shtëpi-Ndërtesë,PP
41,7511844.354,4693257.799,0.000,Kati 4,Shtëpi-Ndërtesë,PP
42,7511849.992,4693255.102,0.000,Kati 4,Shtëpi-Ndërtesë,PP
43,7511850.272,4693255.689,0.000,Kati 4,Shtëpi-Ndërtesë,PP
44,7511851.265,4693255.214,0.000,Kati 4,Shtëpi-Ndërtesë,PP
45,7511851.545,4693255.800,0.000,Kati 4,Shtëpi-Ndërtesë,PP
46,7511852.447,4693255.369,0.000,Kati 4,Shtëpi-Ndërtesë,PP
47,7511853.634,4693257.850,0.000,Kati 4,Shtëpi-Ndërtesë,PP
48,7511852.732,4693258.281,0.000,Kati 4,Shtëpi-Ndërtesë,PP
49,7511858.426,4693270.190,0.000,Kati 4,Shtëpi-Ndërtesë,PP
50,7511859.328,4693269.758,0.000,Kati 4,Shtëpi-Ndërtesë,PP
51,7511860.795,4693272.826,0.000,Kati 4,Shtëpi-Ndërtesë,PP
52,7511859.893,4693273.257,0.000,Kati 4,Shtëpi-Ndërtesë,PP
53,7511831.982,4693268.204,0.000,Kati 4,Shtëpi-Ndërtesë,PP
54,7511832.884,4693267.772,0.000,Kati 4,Shtëpi-Ndërtesë,PP
