Koordinatat e Katit 4 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511858.670,4693296.945,643.920,Kati 4,Shtëpi-Ndërtesë,PM
2,7511857.774,4693297.384,643.922,Kati 4,Shtëpi-Ndërtesë,PM
3,7511858.027,4693297.956,643.917,Kati 4,Shtëpi-Ndërtesë,PM
4,7511857.050,4693298.472,643.927,Kati 4,Shtëpi-Ndërtesë,PM
5,7511857.318,4693299.014,643.912,Kati 4,Shtëpi-Ndërtesë,PM
6,7511851.690,4693301.739,644.008,Kati 4,Shtëpi-Ndërtesë,PM
7,7511851.416,4693301.159,643.915,Kati 4,Shtëpi-Ndërtesë,PM
8,7511844.825,4693304.314,643.998,Kati 4,Shtëpi-Ndërtesë,PM
9,7511845.092,4693304.879,643.997,Kati 4,Shtëpi-Ndërtesë,PM
10,7511839.452,4693307.625,643.999,Kati 4,Shtëpi-Ndërtesë,PM
11,7511839.189,4693307.055,643.999,Kati 4,Shtëpi-Ndërtesë,PM
12,7511838.203,4693307.476,643.927,Kati 4,Shtëpi-Ndërtesë,PM
13,7511837.885,4693306.883,643.942,Kati 4,Shtëpi-Ndërtesë,PM
14,7511836.987,4693307.352,643.942,Kati 4,Shtëpi-Ndërtesë,PM
15,7511835.798,4693304.886,644.013,Kati 4,Shtëpi-Ndërtesë,PM
16,7511836.668,4693304.418,643.977,Kati 4,Shtëpi-Ndërtesë,PM
17,7511830.991,4693292.523,644.013,Kati 4,Shtëpi-Ndërtesë,PM
18,7511830.124,4693292.947,644.019,Kati 4,Shtëpi-Ndërtesë,PM
19,7511828.650,4693289.857,644.020,Kati 4,Shtëpi-Ndërtesë,PM
20,7511829.529,4693289.427,644.025,Kati 4,Shtëpi-Ndërtesë,PM
21,7511829.261,4693288.847,643.878,Kati 4,Shtëpi-Ndërtesë,PM
22,7511849.089,4693279.364,643.937,Kati 4,Shtëpi-Ndërtesë,PM
23,7511849.395,4693279.936,643.981,Kati 4,Shtëpi-Ndërtesë,PM
24,7511850.273,4693279.497,644.017,Kati 4,Shtëpi-Ndërtesë,PM
25,7511851.775,4693282.568,643.926,Kati 4,Shtëpi-Ndërtesë,PM
26,7511850.847,4693282.999,643.918,Kati 4,Shtëpi-Ndërtesë,PM
27,7511856.588,4693294.908,643.913,Kati 4,Shtëpi-Ndërtesë,PM
28,7511857.444,4693294.444,643.923,Kati 4,Shtëpi-Ndërtesë,PM
29,7511860.178,4693273.842,643.913,Kati 4,Shtëpi-Ndërtesë,PM
30,7511834.905,4693286.022,644.016,Kati 4,Shtëpi-Ndërtesë,PM
31,7511828.547,4693272.765,644.025,Kati 4,Shtëpi-Ndërtesë,PM
32,7511833.100,4693270.527,644.010,Kati 4,Shtëpi-Ndërtesë,PM
33,7511830.791,4693265.718,644.018,Kati 4,Shtëpi-Ndërtesë,PM
34,7511831.696,4693265.276,644.034,Kati 4,Shtëpi-Ndërtesë,PM
35,7511831.414,4693264.721,644.006,Kati 4,Shtëpi-Ndërtesë,PM
36,7511832.418,4693264.191,644.020,Kati 4,Shtëpi-Ndërtesë,PM
37,7511832.139,4693263.644,644.020,Kati 4,Shtëpi-Ndërtesë,PM
38,7511837.782,4693260.929,644.017,Kati 4,Shtëpi-Ndërtesë,PM
39,7511838.075,4693261.486,644.011,Kati 4,Shtëpi-Ndërtesë,PM
40,7511844.651,4693258.355,643.997,Kati 4,Shtëpi-Ndërtesë,PM
41,7511844.358,4693257.800,644.026,Kati 4,Shtëpi-Ndërtesë,PM
42,7511850.019,4693255.096,644.030,Kati 4,Shtëpi-Ndërtesë,PM
43,7511850.297,4693255.666,643.938,Kati 4,Shtëpi-Ndërtesë,PM
44,7511851.276,4693255.200,643.936,Kati 4,Shtëpi-Ndërtesë,PM
45,7511851.553,4693255.810,643.935,Kati 4,Shtëpi-Ndërtesë,PM
46,7511852.469,4693255.348,644.030,Kati 4,Shtëpi-Ndërtesë,PM
47,7511853.658,4693257.827,644.039,Kati 4,Shtëpi-Ndërtesë,PM
48,7511852.751,4693258.282,643.928,Kati 4,Shtëpi-Ndërtesë,PM
49,7511858.451,4693270.159,643.931,Kati 4,Shtëpi-Ndërtesë,PM
50,7511859.342,4693269.734,644.028,Kati 4,Shtëpi-Ndërtesë,PM
51,7511860.795,4693272.841,643.948,Kati 4,Shtëpi-Ndërtesë,PM
52,7511859.917,4693273.293,643.921,Kati 4,Shtëpi-Ndërtesë,PM
