Koordinatat e Katit 6 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511858.656,4693296.963,650.142,Kati 6,Shtëpi-Ndërtesë,PM
2,7511857.752,4693297.400,650.059,Kati 6,Shtëpi-Ndërtesë,PM
3,7511858.059,4693298.000,650.015,Kati 6,Shtëpi-Ndërtesë,PM
4,7511857.070,4693298.481,650.103,Kati 6,Shtëpi-Ndërtesë,PM
5,7511857.331,4693299.039,650.124,Kati 6,Shtëpi-Ndërtesë,PM
6,7511851.649,4693301.733,650.122,Kati 6,Shtëpi-Ndërtesë,PM
7,7511851.376,4693301.178,650.104,Kati 6,Shtëpi-Ndërtesë,PM
8,7511844.794,4693304.297,650.017,Kati 6,Shtëpi-Ndërtesë,PM
9,7511845.094,4693304.895,650.108,Kati 6,Shtëpi-Ndërtesë,PM
10,7511839.437,4693307.607,650.126,Kati 6,Shtëpi-Ndërtesë,PM
11,7511839.142,4693306.988,650.027,Kati 6,Shtëpi-Ndërtesë,PM
12,7511838.134,4693307.476,650.011,Kati 6,Shtëpi-Ndërtesë,PM
13,7511837.876,4693306.899,650.022,Kati 6,Shtëpi-Ndërtesë,PM
14,7511837.023,4693307.294,650.114,Kati 6,Shtëpi-Ndërtesë,PM
15,7511835.833,4693304.801,650.122,Kati 6,Shtëpi-Ndërtesë,PM
16,7511836.689,4693304.400,650.009,Kati 6,Shtëpi-Ndërtesë,PM
17,7511830.986,4693292.551,650.100,Kati 6,Shtëpi-Ndërtesë,PM
18,7511830.087,4693292.981,650.100,Kati 6,Shtëpi-Ndërtesë,PM
19,7511828.642,4693289.867,650.115,Kati 6,Shtëpi-Ndërtesë,PM
20,7511829.544,4693289.449,650.028,Kati 6,Shtëpi-Ndërtesë,PM
21,7511829.281,4693288.842,650.136,Kati 6,Shtëpi-Ndërtesë,PM
22,7511849.074,4693279.352,650.092,Kati 6,Shtëpi-Ndërtesë,PM
23,7511849.355,4693279.952,650.055,Kati 6,Shtëpi-Ndërtesë,PM
24,7511850.255,4693279.513,650.125,Kati 6,Shtëpi-Ndërtesë,PM
25,7511851.759,4693282.575,650.128,Kati 6,Shtëpi-Ndërtesë,PM
26,7511850.867,4693283.004,650.094,Kati 6,Shtëpi-Ndërtesë,PM
27,7511856.590,4693294.921,650.016,Kati 6,Shtëpi-Ndërtesë,PM
28,7511857.470,4693294.461,650.144,Kati 6,Shtëpi-Ndërtesë,PM
29,7511860.176,4693273.845,650.000,Kati 6,Shtëpi-Ndërtesë,PM
30,7511840.283,4693283.347,649.996,Kati 6,Shtëpi-Ndërtesë,PM
31,7511840.001,4693282.738,650.012,Kati 6,Shtëpi-Ndërtesë,PM
32,7511839.105,4693283.187,650.150,Kati 6,Shtëpi-Ndërtesë,PM
33,7511837.627,4693280.107,650.107,Kati 6,Shtëpi-Ndërtesë,PM
34,7511838.502,4693279.674,650.105,Kati 6,Shtëpi-Ndërtesë,PM
35,7511832.906,4693267.743,650.004,Kati 6,Shtëpi-Ndërtesë,PM
36,7511831.996,4693268.180,650.137,Kati 6,Shtëpi-Ndërtesë,PM
37,7511830.796,4693265.691,650.122,Kati 6,Shtëpi-Ndërtesë,PM
38,7511831.705,4693265.248,650.009,Kati 6,Shtëpi-Ndërtesë,PM
39,7511831.420,4693264.679,649.993,Kati 6,Shtëpi-Ndërtesë,PM
40,7511832.399,4693264.201,650.137,Kati 6,Shtëpi-Ndërtesë,PM
41,7511832.141,4693263.627,650.105,Kati 6,Shtëpi-Ndërtesë,PM
42,7511837.780,4693260.930,650.111,Kati 6,Shtëpi-Ndërtesë,PM
43,7511838.068,4693261.511,650.010,Kati 6,Shtëpi-Ndërtesë,PM
44,7511844.607,4693258.360,650.141,Kati 6,Shtëpi-Ndërtesë,PM
45,7511844.339,4693257.781,650.126,Kati 6,Shtëpi-Ndërtesë,PM
46,7511849.992,4693255.089,650.136,Kati 6,Shtëpi-Ndërtesë,PM
47,7511850.272,4693255.641,650.146,Kati 6,Shtëpi-Ndërtesë,PM
48,7511851.257,4693255.209,650.014,Kati 6,Shtëpi-Ndërtesë,PM
49,7511851.536,4693255.801,650.018,Kati 6,Shtëpi-Ndërtesë,PM
50,7511852.442,4693255.356,650.110,Kati 6,Shtëpi-Ndërtesë,PM
51,7511853.641,4693257.861,650.119,Kati 6,Shtëpi-Ndërtesë,PM
52,7511852.737,4693258.290,650.020,Kati 6,Shtëpi-Ndërtesë,PM
53,7511858.438,4693270.196,650.030,Kati 6,Shtëpi-Ndërtesë,PM
54,7511859.319,4693269.740,650.106,Kati 6,Shtëpi-Ndërtesë,PM
55,7511860.787,4693272.826,650.093,Kati 6,Shtëpi-Ndërtesë,PM
56,7511859.897,4693273.256,650.002,Kati 6,Shtëpi-Ndërtesë,PM
