Koordinatat e Katit 5 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511858.655,4693296.952,647.009,Kati 5,Shtëpi-Ndërtesë,PM
2,7511857.768,4693297.395,647.002,Kati 5,Shtëpi-Ndërtesë,PM
3,7511858.026,4693297.986,646.999,Kati 5,Shtëpi-Ndërtesë,PM
4,7511857.044,4693298.453,647.011,Kati 5,Shtëpi-Ndërtesë,PM
5,7511857.308,4693299.047,647.008,Kati 5,Shtëpi-Ndërtesë,PM
6,7511851.682,4693301.735,646.994,Kati 5,Shtëpi-Ndërtesë,PM
7,7511851.392,4693301.151,646.988,Kati 5,Shtëpi-Ndërtesë,PM
8,7511844.818,4693304.345,647.092,Kati 5,Shtëpi-Ndërtesë,PM
9,7511845.083,4693304.894,646.986,Kati 5,Shtëpi-Ndërtesë,PM
10,7511839.434,4693307.585,646.987,Kati 5,Shtëpi-Ndërtesë,PM
11,7511839.161,4693307.029,647.001,Kati 5,Shtëpi-Ndërtesë,PM
12,7511838.203,4693307.476,643.937,Kati 5,Shtëpi-Ndërtesë,PM
13,7511837.881,4693306.912,647.002,Kati 5,Shtëpi-Ndërtesë,PM
14,7511837.014,4693307.325,647.008,Kati 5,Shtëpi-Ndërtesë,PM
15,7511835.835,4693304.847,647.139,Kati 5,Shtëpi-Ndërtesë,PM
16,7511836.705,4693304.421,646.994,Kati 5,Shtëpi-Ndërtesë,PM
17,7511830.998,4693292.513,646.989,Kati 5,Shtëpi-Ndërtesë,PM
18,7511830.085,4693292.949,647.109,Kati 5,Shtëpi-Ndërtesë,PM
19,7511828.640,4693289.850,647.098,Kati 5,Shtëpi-Ndërtesë,PM
20,7511829.521,4693289.432,647.010,Kati 5,Shtëpi-Ndërtesë,PM
21,7511829.255,4693288.845,647.014,Kati 5,Shtëpi-Ndërtesë,PM
22,7511849.072,4693279.366,647.044,Kati 5,Shtëpi-Ndërtesë,PM
23,7511849.347,4693279.960,647.006,Kati 5,Shtëpi-Ndërtesë,PM
24,7511850.242,4693279.512,647.112,Kati 5,Shtëpi-Ndërtesë,PM
25,7511851.765,4693282.569,647.136,Kati 5,Shtëpi-Ndërtesë,PM
26,7511850.889,4693283.004,647.139,Kati 5,Shtëpi-Ndërtesë,PM
27,7511856.563,4693294.916,646.999,Kati 5,Shtëpi-Ndërtesë,PM
28,7511857.472,4693294.485,646.998,Kati 5,Shtëpi-Ndërtesë,PM
29,7511860.139,4693273.860,647.273,Kati 5,Shtëpi-Ndërtesë,PM
30,7511840.302,4693283.406,646.988,Kati 5,Shtëpi-Ndërtesë,PM
31,7511839.941,4693282.757,647.041,Kati 5,Shtëpi-Ndërtesë,PM
32,7511839.082,4693283.185,647.063,Kati 5,Shtëpi-Ndërtesë,PM
33,7511837.647,4693280.103,647.034,Kati 5,Shtëpi-Ndërtesë,PM
34,7511838.543,4693279.680,647.029,Kati 5,Shtëpi-Ndërtesë,PM
35,7511832.889,4693267.769,646.958,Kati 5,Shtëpi-Ndërtesë,PM
36,7511831.984,4693268.214,647.031,Kati 5,Shtëpi-Ndërtesë,PM
37,7511830.783,4693265.718,647.061,Kati 5,Shtëpi-Ndërtesë,PM
38,7511831.687,4693265.276,646.946,Kati 5,Shtëpi-Ndërtesë,PM
39,7511831.428,4693264.700,646.942,Kati 5,Shtëpi-Ndërtesë,PM
40,7511832.422,4693264.253,646.933,Kati 5,Shtëpi-Ndërtesë,PM
41,7511832.140,4693263.650,647.055,Kati 5,Shtëpi-Ndërtesë,PM
42,7511837.775,4693260.933,647.073,Kati 5,Shtëpi-Ndërtesë,PM
43,7511838.083,4693261.542,646.945,Kati 5,Shtëpi-Ndërtesë,PM
44,7511844.674,4693258.389,646.956,Kati 5,Shtëpi-Ndërtesë,PM
45,7511844.365,4693257.791,647.018,Kati 5,Shtëpi-Ndërtesë,PM
46,7511850.016,4693255.114,647.028,Kati 5,Shtëpi-Ndërtesë,PM
47,7511850.318,4693255.707,646.942,Kati 5,Shtëpi-Ndërtesë,PM
48,7511851.295,4693255.231,646.946,Kati 5,Shtëpi-Ndërtesë,PM
49,7511851.576,4693255.829,646.946,Kati 5,Shtëpi-Ndërtesë,PM
50,7511852.482,4693255.374,647.088,Kati 5,Shtëpi-Ndërtesë,PM
51,7511853.664,4693257.922,647.081,Kati 5,Shtëpi-Ndërtesë,PM
52,7511852.757,4693258.313,646.946,Kati 5,Shtëpi-Ndërtesë,PM
53,7511858.420,4693270.198,646.989,Kati 5,Shtëpi-Ndërtesë,PM
54,7511859.324,4693269.781,647.402,Kati 5,Shtëpi-Ndërtesë,PM
55,7511860.759,4693272.833,647.362,Kati 5,Shtëpi-Ndërtesë,PM
56,7511859.864,4693273.275,647.297,Kati 5,Shtëpi-Ndërtesë,PM
