1,7511864.341,4693294.961,0
2,7511863.166,4693298.294,0
3,7511857.284,4693299.439,0
4,7511857.102,4693299.526,0
5,7511851.572,4693303.839,0
6,7511839.472,4693308.147,0
7,7511837.205,4693307.349,0
8,7511830.926,4693296.531,0
9,7511828.36,4693289.278,0
10,7511855.432,4693276.333,0
11,7511851.391,4693303.926,0
12,7511856.542,4693278.651,0
13,7511861.632,4693274.576,0
14,7511851.008,4693252.358,0
15,7511842.251,4693256.532,0
16,7511842.855,4693257.795,0
17,7511831.803,4693263.077,0
18,7511832.37,4693264.249,0
19,7511820.639,4693269.859,0
20,7511819.504,4693272.898,0
21,7511824.527,4693285.181,0
