Koordinatat e Katit 7 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511858.666,4693296.968,653.151,Kati 7,Shtëpi-Ndërtesë,PM
2,7511857.781,4693297.396,653.054,Kati 7,Shtëpi-Ndërtesë,PM
3,7511858.032,4693297.977,653.049,Kati 7,Shtëpi-Ndërtesë,PM
4,7511857.076,4693298.504,653.142,Kati 7,Shtëpi-Ndërtesë,PM
5,7511857.345,4693299.051,653.124,Kati 7,Shtëpi-Ndërtesë,PM
6,7511851.670,4693301.727,653.143,Kati 7,Shtëpi-Ndërtesë,PM
7,7511851.398,4693301.184,653.128,Kati 7,Shtëpi-Ndërtesë,PM
8,7511844.805,4693304.310,653.164,Kati 7,Shtëpi-Ndërtesë,PM
9,7511845.068,4693304.859,653.119,Kati 7,Shtëpi-Ndërtesë,PM
10,7511839.439,4693307.578,653.145,Kati 7,Shtëpi-Ndërtesë,PM
11,7511839.176,4693307.026,653.142,Kati 7,Shtëpi-Ndërtesë,PM
12,7511838.186,4693307.477,653.042,Kati 7,Shtëpi-Ndërtesë,PM
13,7511837.875,4693306.924,653.141,Kati 7,Shtëpi-Ndërtesë,PM
14,7511837.051,4693307.312,653.135,Kati 7,Shtëpi-Ndërtesë,PM
15,7511835.848,4693304.804,653.189,Kati 7,Shtëpi-Ndërtesë,PM
16,7511836.673,4693304.411,653.151,Kati 7,Shtëpi-Ndërtesë,PM
17,7511831.050,4693292.498,653.044,Kati 7,Shtëpi-Ndërtesë,PM
18,7511830.136,4693292.926,653.146,Kati 7,Shtëpi-Ndërtesë,PM
19,7511828.659,4693289.880,653.154,Kati 7,Shtëpi-Ndërtesë,PM
20,7511829.531,4693289.442,653.130,Kati 7,Shtëpi-Ndërtesë,PM
21,7511829.256,4693288.844,653.071,Kati 7,Shtëpi-Ndërtesë,PM
22,7511849.092,4693279.355,653.027,Kati 7,Shtëpi-Ndërtesë,PM
23,7511849.400,4693279.924,653.145,Kati 7,Shtëpi-Ndërtesë,PM
24,7511850.267,4693279.508,653.144,Kati 7,Shtëpi-Ndërtesë,PM
25,7511851.755,4693282.573,653.140,Kati 7,Shtëpi-Ndërtesë,PM
26,7511850.867,4693283.000,653.137,Kati 7,Shtëpi-Ndërtesë,PM
27,7511856.592,4693294.906,653.367,Kati 7,Shtëpi-Ndërtesë,PM
28,7511857.485,4693294.501,653.154,Kati 7,Shtëpi-Ndërtesë,PM
29,7511860.173,4693273.849,653.043,Kati 7,Shtëpi-Ndërtesë,PM
30,7511840.357,4693283.340,653.052,Kati 7,Shtëpi-Ndërtesë,PM
31,7511840.027,4693282.758,653.168,Kati 7,Shtëpi-Ndërtesë,PM
32,7511839.158,4693283.186,653.162,Kati 7,Shtëpi-Ndërtesë,PM
33,7511837.671,4693280.085,653.160,Kati 7,Shtëpi-Ndërtesë,PM
34,7511838.602,4693279.653,653.061,Kati 7,Shtëpi-Ndërtesë,PM
35,7511832.902,4693267.774,653.049,Kati 7,Shtëpi-Ndërtesë,PM
36,7511831.994,4693268.216,653.143,Kati 7,Shtëpi-Ndërtesë,PM
37,7511830.797,4693265.720,653.144,Kati 7,Shtëpi-Ndërtesë,PM
38,7511831.709,4693265.288,653.052,Kati 7,Shtëpi-Ndërtesë,PM
39,7511831.421,4693264.707,653.043,Kati 7,Shtëpi-Ndërtesë,PM
40,7511832.402,4693264.218,653.178,Kati 7,Shtëpi-Ndërtesë,PM
41,7511832.132,4693263.649,653.142,Kati 7,Shtëpi-Ndërtesë,PM
42,7511837.776,4693260.936,653.155,Kati 7,Shtëpi-Ndërtesë,PM
43,7511838.069,4693261.522,653.047,Kati 7,Shtëpi-Ndërtesë,PM
44,7511844.592,4693258.388,653.165,Kati 7,Shtëpi-Ndërtesë,PM
45,7511844.330,4693257.795,653.172,Kati 7,Shtëpi-Ndërtesë,PM
46,7511849.982,4693255.096,653.152,Kati 7,Shtëpi-Ndërtesë,PM
47,7511850.256,4693255.637,653.149,Kati 7,Shtëpi-Ndërtesë,PM
48,7511851.248,4693255.212,653.058,Kati 7,Shtëpi-Ndërtesë,PM
49,7511851.543,4693255.781,653.066,Kati 7,Shtëpi-Ndërtesë,PM
50,7511852.441,4693255.351,653.155,Kati 7,Shtëpi-Ndërtesë,PM
51,7511853.625,4693257.855,653.182,Kati 7,Shtëpi-Ndërtesë,PM
52,7511852.748,4693258.277,653.150,Kati 7,Shtëpi-Ndërtesë,PM
53,7511858.402,4693270.184,653.059,Kati 7,Shtëpi-Ndërtesë,PM
54,7511859.324,4693269.744,653.152,Kati 7,Shtëpi-Ndërtesë,PM
55,7511860.778,4693272.828,653.137,Kati 7,Shtëpi-Ndërtesë,PM
56,7511859.886,4693273.253,653.057,Kati 7,Shtëpi-Ndërtesë,PM
