Koordinatat e pllakes mbi bodrum të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511873.855,4693295.308,626.228,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
2,7511839.997,4693311.554,626.225,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
3,7511816.003,4693270.517,626.195,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
4,7511856.934,4693245.737,625.698,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
5,7511868.574,4693269.757,626.24,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
6,7511827.206,4693289.589,626.234,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
7,7511867.036,4693281.03,626.232,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
8,7511872.695,4693278.316,626.228,Pllaka mbi bodrum,Shtëpi-Ndërtesë,PM
