412,7511830.9910,4693292.5230,644.0130,17
413,7511830.1240,4693292.9470,644.0190,18
414,7511828.6500,4693289.8570,644.0200,19
415,7511829.5290,4693289.4270,644.0250,20
416,7511829.2610,4693288.8470,643.8780,21
418,7511849.0890,4693279.3640,643.9370,22
419,7511849.3950,4693279.9360,643.9810,23
420,7511850.2730,4693279.4970,644.0170,24
421,7511851.7750,4693282.5680,643.9260,25
422,7511850.8470,4693282.9990,643.9180,26
423,7511856.5880,4693294.9080,643.9130,27
424,7511857.4440,4693294.4440,643.9230,28
425,7511858.6700,4693296.9450,643.9200,1
426,7511857.7740,4693297.3840,643.9220,2
427,7511858.0270,4693297.9560,643.9170,3
428,7511857.0500,4693298.4720,643.9270,4
429,7511857.3180,4693299.0140,643.9120,5
430,7511851.6900,4693301.7390,644.0080,6
431,7511851.4160,4693301.1590,643.9150,7
432,7511844.8250,4693304.3140,643.9980,8
433,7511845.0920,4693304.8790,643.9970,9
434,7511839.4520,4693307.6250,643.9990,10
435,7511839.1890,4693307.0550,643.9990,11
436,7511838.2030,4693307.4760,643.9270,12
437,7511837.8850,4693306.8830,643.9420,13
438,7511836.9870,4693307.3520,643.9420,14
439,7511835.7980,4693304.8860,644.0130,15
440,7511836.6680,4693304.4180,643.9770,16
